
 
 GLOSSAIRE DES STATISTIQUES 
 
POS:Position 
 GP:Games Played 
 AB:At Bats 
 R:Runs 
 H:Hits 
 AVG:Batting Average 
 2B:Doubles
3B :Triples 
  HR:Home Runs 
 RBI:Runs Batted In 
 TB:Total Bases 
 BB:Walks 
 K:Strikeouts 
 SB:Stolen Bases 
OBP:On Base Percentage 
 SLG:Slugging Percentage 
 OPS:OPB Pct + SLG Pct 
 WAR:Wins Above Replacement 
 
STATISTIQUES DES SERIES ELIMINATOIRES 2021 DE TOUS LES JOUEURS DE BATON (BASEBALL) DE TOUTES LES DIVISIONS 
 
ARIZONA DIAMONDBACKS
 
Nom des joueurs;GP;AB;R;H;2B;3B;HR;RBI;TB;BB;SO;SB;AVG;OBP;SLG;OPS;WAR
Abraham Toro;70;213;25;45;12;1;14;37;101;23;74;1;.211;.288;.474;.762;2.0
Cal Raleigh;73;147;25;29;6;2;5;16;54;25;56;11;.197;.343;.367;.710;0.7
Dylan Moore;39;117;8;25;2;0;0;8;27;8;44;0;.214;.268;.231;.498;-0.6
Luis Torrens;30;86;10;12;2;1;3;10;25;9;36;4;.140;.219;.291;.509;-0.2
Jarred Kelenic;32;81;14;19;9;0;3;9;37;11;24;2;.235;.323;.457;.779;0.5
Taylor Trammell;24;80;12;14;1;0;5;12;30;13;15;0;.175;.295;.375;.670;0.0
Carlos Santan;33;66;14;20;5;1;2;8;33;2;19;5;.303;.343;.500;.843;1.1
Sam Haggerty;17;48;2;6;1;0;1;3;10;6;23;0;.125;.263;.208;.471;-0.4
Justin Upton;9;35;3;7;1;0;3;7;17;1;9;0;.200;.222;.486;.708;0.2
Mitch Haniger;14;33;9;10;2;0;1;1;15;8;13;0;.303;.439;.455;.894;0.5
Tom Murphy;10;29;4;6;0;0;2;4;12;4;6;0;.207;.324;.414;.737;0.1
Kyle Lewis;16;29;1;5;1;0;0;3;6;8;12;0;.172;.368;.207;.575;-0.1
Mike Ford;6;19;0;3;0;0;0;1;3;0;8;0;.158;.158;.158;.316;-0.3
Steven Souza Jr.;6;10;0;2;1;0;0;3;3;1;5;0;.200;.273;.300;.573;0.0
Kevin Padlo;3;5;1;1;0;0;0;0;1;1;4;0;.200;.333;.200;.533;0.0
Marcus Wilson;2;4;0;0;0;0;0;0;0;0;3;0;.000;.000;.000;.000;-0.1
Andrew Knapp;3;3;0;0;0;0;0;0;0;0;2;0;.000;.000;.000;.000;-0.1
Stuart Fairchild;1;3;0;1;0;0;0;0;1;0;1;0;.333;.333;.333;.667;-0.1
Drew Ellis;1;0;1;0;0;0;0;0;0;0;0;0;.000;.000;.000;.000;0.0
TOTAL;100;3328;408;782;154;12;110;390;1290;361;858;53;.235;.318;.388;.705;

 
ST LOUIS CARDINALS
 
Nom des joueurs;GP;AB;R;H;2B;3B;HR;RBI;TB;BB;SO;SB;AVG;OBP;SLG;OPS;WAR
Tommy Edman;93;352;68;118;28;0;24;77;218;48;85;5;.335;.417;.619;1.036;5.3
Paul Goldschmidt;91;345;42;102;24;1;18;59;182;33;49;1;.296;.359;.528;.887;5.0
Nolan Arenado;80;282;36;73;22;3;6;29;119;25;60;4;.259;.329;.422;.751;1.5
Dylan Carlson;72;246;35;63;7;3;5;21;91;13;47;15;.256;.303;.370;.673;1.2
Harrison Bader;74;231;31;65;14;1;2;30;87;36;52;2;.281;.396;.377;.772;2.2
Brendan Donovan;62;209;24;53;10;0;11;27;96;14;53;0;.254;.298;.459;.758;0.6
Juan Yepez;53;197;28;45;6;1;5;33;68;19;64;7;.228;.293;.345;.638;0.1
Tyler O'Neill;55;179;28;41;6;0;10;23;77;17;64;1;.229;.303;.430;.733;1.0
Nolan Gorman;63;165;12;34;6;0;1;17;43;17;38;0;.206;.296;.261;.556;0.2
Andrew Knizner;57;162;18;39;8;0;7;24;68;17;31;1;.241;.321;.420;.741;0.1
Albert Pujols;38;136;10;29;5;0;2;10;40;2;23;1;.213;.225;.294;.519;-0.1
Yadier Molin;47;127;15;27;5;0;3;15;41;9;22;0;.213;.268;.323;.591;-0.3
